open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,signal,order_id,order_status,filled_price,filled_quantity,execution_cost,capital
90990.23,99000.0,90990.23,99000.0,0.01015,2025-12-04 08:04:59.999999,1004.3694138,2,0.01015,1004.3694138,0,,,,,,1000000.0
93888.0,93888.0,93081.75,93386.0,0.00551,2025-12-04 08:09:59.999999,514.792495,4,0.0,0.0,0,,,,,,1000000.0
93586.0,93586.0,93306.0,93306.0,0.00795,2025-12-04 08:14:59.999999,742.4167,5,0.0,0.0,0,,,,,,1000000.0
93306.0,93306.0,93306.0,93306.0,0.0,2025-12-04 08:19:59.999999,0.0,0,0.0,0.0,0,,,,,,1000000.0
93227.98,93227.98,93227.98,93227.98,0.00021,2025-12-04 08:24:59.999999,19.5778758,1,0.00021,19.5778758,0,,,,,,1000000.0
93226.17,93241.93,93174.88,93175.05,0.0141,2025-12-04 08:29:59.999999,1314.3804646,15,0.0141,1314.3804646,0,,,,,,1000000.0
93125.13,93182.61,93077.14,93182.61,0.02669,2025-12-04 08:34:59.999999,2486.0886469,29,0.02669,2486.0886469,0,,,,,,1000000.0
93182.61,93182.61,93182.61,93182.61,0.0,2025-12-04 08:39:59.999999,0.0,0,0.0,0.0,0,,,,,,1000000.0
93182.61,93182.61,93182.61,93182.61,0.0,2025-12-04 08:44:59.999999,0.0,0,0.0,0.0,0,,,,,,1000000.0
93182.61,93182.61,93182.61,93182.61,0.0,2025-12-04 08:49:59.999999,0.0,0,0.0,0.0,0,,,,,,1000000.0
93182.61,93182.61,93182.61,93182.61,0.0,2025-12-04 08:54:59.999999,0.0,0,0.0,0.0,0,,,,,,1000000.0
93182.61,93182.61,93182.61,93182.61,0.0,2025-12-04 08:59:59.999999,0.0,0,0.0,0.0,0,,,,,,1000000.0
93182.61,93182.61,93182.61,93182.61,0.0,2025-12-04 09:04:59.999999,0.0,0,0.0,0.0,0,,,,,,1000000.0
93182.61,93182.61,93182.61,93182.61,0.0,2025-12-04 09:09:59.999999,0.0,0,0.0,0.0,0,,,,,,1000000.0
93428.3,93428.3,93428.06,93428.06,0.00188,2025-12-04 09:14:59.999999,175.6449784,2,0.00188,175.6449784,0,,,,,,1000000.0
93379.45,93379.45,93319.19,93321.69,0.0094,2025-12-04 09:19:59.999999,877.653213,11,0.0094,877.653213,0,,,,,,1000000.0
93321.69,93321.69,93321.69,93321.69,0.0,2025-12-04 09:24:59.999999,0.0,0,0.0,0.0,0,,,,,,1000000.0
93398.23,93398.23,93385.73,93385.73,0.00188,2025-12-04 09:29:59.999999,175.5769224,2,0.00188,175.5769224,0,,,,,,1000000.0
